dataset,model,seed,test_error,low_conflict_error,high_conflict_error,high_res_error,low_res_error,mean_conflict,mean_stability,mean_res,sef_triage_error_10,confidence_triage_error_10,sef_triage_error_20,confidence_triage_error_20,sef_triage_error_30,confidence_triage_error_30
Wine,Random forest,3.0,0.047619047619047616,0.0,0.18181818181818182,0.0,0.18181818181818182,0.41824903187859563,0.9934980278298026,0.5776282455195473,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,3.0,0.047619047619047616,0.0,0.18181818181818182,0.0,0.18181818181818182,0.22088877513407845,0.9963516950338632,0.7767912411132016,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,4.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.4043555421080141,0.9883469287296165,0.5879238437784399,0.02631578947368421,0.02631578947368421,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Gradient boosting,4.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.2581947870052372,0.9942597299421433,0.7382624601420987,0.02631578947368421,0.0,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Random forest,5.0,0.0,0.0,0.0,0.0,0.0,0.3971374378853893,0.9933228991754068,0.5982261874160387,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,5.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.3194400694748155,0.9960694599987177,0.6776625254609098,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,6.0,0.0,0.0,0.0,0.0,0.0,0.3084308919279103,0.9911414533768428,0.6848050370385577,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,6.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.2308139020026929,0.9968209126005532,0.7672522514714615,0.02631578947368421,0.02631578947368421,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Random forest,7.0,0.0,0.0,0.0,0.0,0.0,0.45152960859622404,0.9853552095289637,0.5380093822315034,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,7.0,0.07142857142857142,0.0,0.23076923076923078,0.0,0.23076923076923078,0.2920711851526635,0.9880733199460662,0.6995140489358297,0.07894736842105263,0.0,0.08823529411764706,0.0,0.03333333333333333,0.0
Wine,Random forest,8.0,0.0,0.0,0.0,0.0,0.0,0.42636733473641897,0.9948382799645481,0.5701496898733738,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,8.0,0.07142857142857142,0.0,0.2727272727272727,0.0,0.2727272727272727,0.24820364016313393,0.9993448898090966,0.7513555841402129,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,9.0,0.047619047619047616,0.0,0.09090909090909091,0.0,0.09090909090909091,0.3248101332089178,0.9837201511437854,0.6638108792974036,0.05263157894736842,0.0,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Gradient boosting,9.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.226898059977991,0.9886126333948705,0.76487316956482,0.02631578947368421,0.0,0.029411764705882353,0.0,0.0,0.0
Wine,Random forest,10.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.42833888325954206,0.987618586132399,0.5634698958419242,0.02631578947368421,0.02631578947368421,0.029411764705882353,0.029411764705882353,0.03333333333333333,0.0
Wine,Gradient boosting,10.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.3695815458532006,0.9964637118057961,0.629000907423594,0.02631578947368421,0.0,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Random forest,11.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.4812871486309668,0.9888752926568959,0.5126222683925827,0.02631578947368421,0.0,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Gradient boosting,11.0,0.0,0.0,0.0,0.0,0.0,0.30832056816681647,0.9990100026905631,0.6911270985456104,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,12.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.35357667783415186,0.994553902184284,0.6426404881620016,0.02631578947368421,0.0,0.029411764705882353,0.0,0.0,0.0
Wine,Gradient boosting,12.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.24223055169206092,0.9970138354965441,0.7562382109748035,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
