dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
Diabetes,Healthcare,10,768,8,0.0,0.3489583333333333,0.25650557620817843,0.16377827426792418,135,14,0.3937426210153483,0.47520661157024796,0.08146399055489967,0.6257378984651711,0.4787485242030696,0.564935064935065,0.5460448642266824,0.04048690742143919,0.07,0.05882352941176471,0.0,,0.012192700000014156,4.250003257766366e-05,21985.745985635258
Diabetes,Healthcare,11,768,8,0.0,0.3489583333333333,0.24907063197026022,0.15978717772211207,135,13,0.6488020176544768,0.6324085750315259,-0.016393442622950838,0.64281210592686,0.49810844892812106,0.684110970996217,0.5800756620428751,0.04306164388805512,0.05,0.11764705882352942,0.0,,0.016914799984078854,0.00014700001338496804,15766.21458697124
Diabetes,Healthcare,12,768,8,0.0,0.3489583333333333,0.2342007434944238,0.16130168871312747,135,17,0.5732801595214356,0.5259222333000997,-0.047357926221335944,0.5431206380857428,0.5458624127617149,0.6405782652043869,0.5388833499501496,0.016441886208547703,0.288,0.058823529411764705,0.0,,0.013075299968477339,8.150003850460052e-05,20445.7010714801
Diabetes,Healthcare,13,768,8,0.0,0.3489583333333333,0.2527881040892193,0.17070107470263884,135,16,0.2678571428571429,0.5908613445378151,0.32300420168067223,0.654936974789916,0.49737394957983194,0.47794117647058826,0.743172268907563,0.056073689885983755,0.014,0.14705882352941177,0.0,,0.009470999997574836,0.00011500000255182385,28061.756728191707
Diabetes,Healthcare,14,768,8,0.0,0.3489583333333333,0.24535315985130113,0.16188413187172565,135,14,0.5342384887839433,0.48229043683589135,-0.051948051948051965,0.6027154663518299,0.58913813459268,0.6204250295159386,0.5484061393152302,0.03307385202644277,0.124,0.08823529411764706,0.0,,0.013415299996268004,4.9099966417998075e-05,19978.61031649994
Heart disease,Healthcare,0,270,13,0.0,0.4444444444444444,0.21052631578947367,0.14896473823242007,48,2,,,,0.6956521739130435,0.0,0.40217391304347827,0.7391304347826086,0.02706916889142187,0.208,0.08333333333333333,0.0,,0.014706799993291497,0.00010260002454742789,6414.844617983583
Heart disease,Healthcare,1,270,13,0.0,0.4444444444444444,0.16842105263157894,0.11629288942139165,48,2,,,,0.7934782608695652,0.3695652173913043,0.7282608695652174,0.6630434782608696,0.04060375333713281,0.102,0.08333333333333333,0.0,,0.012191899993922561,0.00011989998165518045,7716.174741991132
Heart disease,Healthcare,2,270,13,0.0,0.4444444444444444,0.22105263157894736,0.14136238500633394,48,5,0.9395348837209303,0.8604651162790697,-0.07906976744186056,0.7953488372093024,0.2837209302325582,0.7860465116279071,0.6651162790697674,0.0954940124780716,0.012,0.25,0.0,,0.09196580003481358,0.00010710000060498714,1031.791112949146
Heart disease,Healthcare,3,270,13,0.0,0.4444444444444444,0.17894736842105263,0.12602738604563807,48,2,,,,0.6086956521739131,0.6739130434782609,0.6304347826086957,0.3804347826086957,0.015038427161901033,0.322,0.08333333333333333,0.0,,0.05053940002107993,9.109999518841505e-05,1876.3393600591555
Heart disease,Healthcare,4,270,13,0.0,0.4444444444444444,0.14736842105263157,0.10429987460932973,48,2,,,,0.9130434782608696,0.44565217391304346,0.608695652173913,0.8478260869565217,0.05714602321522396,0.022,0.16666666666666666,0.0,,0.07369729998754337,9.74999857135117e-05,1287.3535809356194
Heart disease,Healthcare,5,270,13,0.0,0.4444444444444444,0.18947368421052632,0.14697993079906724,48,4,0.42045454545454547,0.3125,-0.10795454545454547,0.6931818181818181,0.36363636363636365,0.5909090909090909,0.5795454545454546,0.051130652350463525,0.124,0.16666666666666666,0.0,,0.047466599964536726,0.00026350002735853195,1990.3582857804895
Heart disease,Healthcare,6,270,13,0.0,0.4444444444444444,0.2,0.15165110294814663,48,5,0.6046511627906976,0.6465116279069768,0.041860465116279166,0.7767441860465116,0.42325581395348844,0.7162790697674418,0.5488372093023255,0.0894786416133112,0.022,0.25,0.0,,0.015266800008248538,7.990002632141113e-05,6190.255871685976
Heart disease,Healthcare,7,270,13,0.0,0.4444444444444444,0.17894736842105263,0.13711587327940597,48,4,0.6420454545454546,0.6022727272727273,-0.03977272727272729,0.6420454545454545,0.2897727272727273,0.6761363636363636,0.3806818181818182,0.037596067904752596,0.152,0.08333333333333333,0.0,,0.01523389999056235,0.00019510003039613366,6157.236364699829
Heart disease,Healthcare,8,270,13,0.0,0.4444444444444444,0.14736842105263157,0.11370369518801858,48,3,0.4222222222222222,0.5037037037037037,0.08148148148148143,0.7185185185185186,0.3555555555555555,0.5851851851851851,0.6444444444444445,0.044363360127608054,0.12,0.16666666666666666,0.0,,0.011994900007266551,0.00011959997937083244,7841.84242888997
Heart disease,Healthcare,9,270,13,0.0,0.4444444444444444,0.14736842105263157,0.1155929217717169,48,4,0.8465909090909092,0.7840909090909092,-0.0625,0.7386363636363635,0.6931818181818181,0.8806818181818182,0.40909090909090906,0.06316139407998438,0.058,0.16666666666666666,0.0,,0.009526400011964142,4.730001091957092e-05,9923.018245080219
Heart disease,Healthcare,10,270,13,0.0,0.4444444444444444,0.1368421052631579,0.10126427864249363,48,1,,,,0.42553191489361697,0.7234042553191489,0.8936170212765957,0.0,-0.005263449506665362,0.58,0.0,0.0,,0.015276500023901463,0.00013749999925494194,6163.228224813922
