dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
Credit-card default,Finance,1,30000,23,0.0,0.2212,0.3040952380952381,0.20640086168486474,5250,1159,0.5617212724579661,0.6645860175401337,0.10286474508216759,0.42051735443171734,0.5035873903214384,0.5548156067244139,0.4604883001449551,-0.04736496859605729,1.0,-0.13556740289413557,1.0,0.0,0.019319800019729882,0.0022745999740436673,486237.1727405036
Credit-card default,Finance,2,30000,23,0.0,0.2212,0.30523809523809525,0.20660409412270317,5250,1149,0.5645518541933668,0.6485745373191153,0.08402268312574845,0.4224845709371868,0.4946739730423007,0.5489079167046014,0.48304336393785374,-0.045906055497415645,1.0,-0.12795125666412796,1.0,0.0,0.03990530001465231,0.004532299994025379,236286.3880576264
Credit-card default,Finance,3,30000,23,0.0,0.2212,0.31866666666666665,0.20695301477950276,5250,1126,0.5517104744053352,0.6538307149760618,0.10212024057072666,0.416356707605956,0.5100858725857218,0.5492507575979451,0.4612412632891897,-0.04881577522748954,1.0,-0.14775323686214775,1.0,0.0,0.028554200020153075,0.003880899981595576,323723.3737350562
Credit-card default,Finance,4,30000,23,0.0,0.2212,0.3079047619047619,0.20617934546095001,5250,1132,0.5605258822338196,0.6375539088068071,0.07702802657298746,0.4389285941063709,0.5093509147979138,0.5564480767877645,0.4861186431369991,-0.035780195650702784,1.0,-0.10738766184310738,1.0,0.0,0.025580899964552373,0.0029427999979816377,368114.9364841094
Credit-card default,Finance,5,30000,23,0.0,0.2212,0.30742857142857144,0.20557388408802546,5250,1116,0.5457208167950712,0.6522070668449245,0.10648625004985324,0.4165882020416409,0.5166149927257657,0.5471620082088737,0.48360956349392137,-0.048365332034806294,1.0,-0.14013709063214014,1.0,0.0,0.04437990003498271,0.004647099995054305,214167.70337909806
Credit-card default,Finance,6,30000,23,0.0,0.2212,0.3047619047619048,0.20541443200556067,5250,1130,0.5680990634934273,0.653847409571269,0.08574834607784165,0.42497787610619464,0.501030801615259,0.5595182146232494,0.4687851189964774,-0.043897222146858504,1.0,-0.12338156892612337,1.0,0.0,0.027215000009164214,0.0050428000395186245,325502.66863064456
Credit-card default,Finance,7,30000,23,0.0,0.2212,0.31161904761904763,0.20617602008801916,5250,1139,0.564782509248939,0.6540327680355645,0.08925025878662551,0.42549924408891193,0.5063431821390139,0.5610090403933514,0.4649764043405677,-0.043843367543904666,1.0,-0.12947448591012947,1.0,0.0,0.035079299996141344,0.006471699976827949,252701.4995266227
Credit-card default,Finance,8,30000,23,0.0,0.2212,0.3099047619047619,0.2054797109572246,5250,1126,0.5612771404403112,0.6494998303049515,0.08822268986464032,0.41841673658332373,0.49369479527196863,0.5499797141198339,0.48304923051478754,-0.047613504147011876,1.0,-0.13252094440213255,1.0,0.0,0.03250610001850873,0.005019199976231903,279811.22073565377
Credit-card default,Finance,9,30000,23,0.0,0.2212,0.3059047619047619,0.20752522349222735,5250,1178,0.5844651952461799,0.6557022408197439,0.07123704557356403,0.42607241970507104,0.49236993872602164,0.5619141947491836,0.46979329621982585,-0.044568865116197925,1.0,-0.12033511043412032,1.0,0.0,0.04398770001716912,0.0061852000071667135,209276.32237536772
Credit-card default,Finance,10,30000,23,0.0,0.2212,0.3110476190476191,0.2074970982769333,5250,1159,0.5535602995611698,0.6433375394840714,0.08977723992290154,0.42523487973874774,0.5004626203398145,0.5479512783907267,0.49671230582758213,-0.04455372047212699,1.0,-0.1271896420411272,1.0,0.0,0.031993099953979254,0.005866200022865087,277342.68743537395
Credit-card default,Finance,11,30000,23,0.0,0.2212,0.318,0.20924332379915256,5250,1194,0.5617436293895512,0.6678872254104183,0.10614359602086709,0.41406841075859246,0.5226545696926447,0.5644886992490393,0.4526257602939087,-0.05230306517293684,1.0,-0.14775323686214772,1.0,0.0,0.045416600012686104,0.005126699979882687,207742.6681982336
Credit-card default,Finance,12,30000,23,0.0,0.2212,0.30352380952380953,0.20613135906900498,5250,1142,0.5551256614320527,0.6483432438009129,0.09321758236886024,0.4185252346026803,0.49863695544296976,0.548942667930841,0.4883571545504309,-0.04803874815314687,1.0,-0.1325209444021325,1.0,0.0,0.05621930002234876,0.00838289997773245,162533.16450502924
Credit-card default,Finance,13,30000,23,0.0,0.2212,0.31047619047619046,0.20635108888863524,5250,1138,0.5585471901007296,0.6583846498396395,0.0998374597389099,0.4189334187563683,0.5021913872039826,0.5556497379182537,0.4693728288074511,-0.04767703624112338,1.0,-0.13175932977913174,1.0,0.0,0.03930430003674701,0.005118399974890053,236365.64182837598
Credit-card default,Finance,14,30000,23,0.0,0.2212,0.308,0.20704770944722786,5250,1160,0.5715454008936852,0.65491358232864,0.08336818143495484,0.43034672455948064,0.5070095270213304,0.5640295927830705,0.4735722114492876,-0.041533149491421624,1.0,-0.11652703731911651,1.0,0.0,0.021507900033611804,0.003163499990478158,425594.0072208086
