dataset,seed,alpha,nominal_accepted_fraction,accepted_fraction,flagged_fraction,all_error,accepted_error,flagged_error,threshold
Iris,21.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.034482758620689655,1.0,0.7510594323589703
Iris,22.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.9587795814972101
Iris,23.0,0.1,0.9,0.8666666666666667,0.13333333333333333,0.1,0.07692307692307693,0.25,0.6455867355152468
Iris,24.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.034482758620689655,1.0,0.8332495516810126
Iris,25.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.8214182850432271
Iris,26.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9763108812493347
Iris,27.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9668674237228897
Iris,28.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9523110537435474
Iris,29.0,0.1,0.9,1.0,0.0,0.06666666666666667,0.06666666666666667,,0.8583472643276975
Iris,30.0,0.1,0.9,1.0,0.0,0.1,0.1,,0.9953157343661004
Iris,31.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.0,1.0,0.8569124782680368
Iris,32.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0,0.9623918131061345
Iris,33.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.1,0.06896551724137931,1.0,0.8512636306548437
Iris,34.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.1,0.10344827586206896,0.0,0.9809683782192434
Iris,35.0,0.1,0.9,0.8333333333333334,0.16666666666666666,0.06666666666666667,0.0,0.4,0.6670235296571977
Iris,36.0,0.1,0.9,1.0,0.0,0.1,0.1,,0.8258079406558748
Iris,37.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.06896551724137931,0.0,0.9174710464243186
Iris,38.0,0.1,0.9,0.9333333333333333,0.06666666666666667,0.1,0.07142857142857142,0.5,0.8943296611982613
Iris,39.0,0.1,0.9,1.0,0.0,0.1,0.1,,0.9920301133822419
Iris,40.0,0.1,0.9,1.0,0.0,0.1,0.1,,0.9014894926314198
Iris,41.0,0.1,0.9,0.8666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.5,0.5350657462451491
Iris,42.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.034482758620689655,0.0,0.968546981628082
Iris,43.0,0.1,0.9,1.0,0.0,0.1,0.1,,0.954529696428706
Iris,44.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.8954151324999993
Iris,45.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9850945532251376
Iris,46.0,0.1,0.9,1.0,0.0,0.06666666666666667,0.06666666666666667,,0.9952523365901551
Iris,47.0,0.1,0.9,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.03571428571428571,0.5,0.8693695673461624
Iris,48.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.034482758620689655,0.0,0.9561599977408362
Iris,49.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.034482758620689655,0.0,0.9448122905896239
