dataset,openml_name,openml_version,seed,n,p_raw,test_error,auc,high_confidence_error,high_confidence_low_conflict_error,high_confidence_high_conflict_error,gap,mean_conflict
Diabetes,diabetes,1,49,768,8,0.21933085501858737,0.8654711246200608,0.11851851851851852,0.058823529411764705,0.17647058823529413,0.11764705882352942,0.49816611093336355
Heart disease,heart-statlog,1,0,270,13,0.21052631578947367,0.8867924528301887,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.5582952655610105
Heart disease,heart-statlog,1,1,270,13,0.16842105263157894,0.9141958670260557,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.5675784514019035
Heart disease,heart-statlog,1,2,270,13,0.22105263157894736,0.8863432165318957,0.10416666666666667,0.08333333333333333,0.3333333333333333,0.25,0.571113463942152
Heart disease,heart-statlog,1,3,270,13,0.17894736842105263,0.9047619047619048,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.5315274540509526
Heart disease,heart-statlog,1,4,270,13,0.14736842105263157,0.9263252470799641,0.041666666666666664,0.0,0.16666666666666666,0.16666666666666666,0.5025893029337087
Heart disease,heart-statlog,1,5,270,13,0.18947368421052632,0.8733153638814016,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5864094016944589
Heart disease,heart-statlog,1,6,270,13,0.2,0.8809523809523809,0.10416666666666667,0.0,0.25,0.25,0.530598136382348
Heart disease,heart-statlog,1,7,270,13,0.17894736842105263,0.8998203054806828,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.5468287128661102
Heart disease,heart-statlog,1,8,270,13,0.14736842105263157,0.9155435759209344,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.5598629138704906
Heart disease,heart-statlog,1,9,270,13,0.14736842105263157,0.9159928122192272,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5487914160636167
Heart disease,heart-statlog,1,10,270,13,0.1368421052631579,0.9299191374663072,0.020833333333333332,0.0,0.0,0.0,0.5454451466794447
Heart disease,heart-statlog,1,11,270,13,0.17894736842105263,0.8867924528301887,0.10416666666666667,0.0,0.16666666666666666,0.16666666666666666,0.5634892478974721
Heart disease,heart-statlog,1,12,270,13,0.16842105263157894,0.9043126684636118,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5233688491328278
Heart disease,heart-statlog,1,13,270,13,0.21052631578947367,0.8638814016172506,0.10416666666666667,0.0,0.25,0.25,0.6017294047718784
Heart disease,heart-statlog,1,14,270,13,0.16842105263157894,0.9128481581311769,0.0625,0.0,0.08333333333333333,0.08333333333333333,0.528386005154249
Heart disease,heart-statlog,1,15,270,13,0.12631578947368421,0.9393530997304582,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.5705681669807081
Heart disease,heart-statlog,1,16,270,13,0.17894736842105263,0.9200359389038635,0.020833333333333332,0.0,0.08333333333333333,0.08333333333333333,0.5517323510045573
Heart disease,heart-statlog,1,17,270,13,0.16842105263157894,0.9254267744833782,0.020833333333333332,0.0,0.08333333333333333,0.08333333333333333,0.5469366286233902
Heart disease,heart-statlog,1,18,270,13,0.1368421052631579,0.9164420485175202,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.5534145616586921
Heart disease,heart-statlog,1,19,270,13,0.18947368421052632,0.9052111410601976,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5789127975135028
Heart disease,heart-statlog,1,20,270,13,0.14736842105263157,0.9065588499550764,0.0625,0.0,0.08333333333333333,0.08333333333333333,0.5776084362055526
Heart disease,heart-statlog,1,21,270,13,0.17894736842105263,0.9420485175202157,0.020833333333333332,0.0,0.08333333333333333,0.08333333333333333,0.5025766305002445
Heart disease,heart-statlog,1,22,270,13,0.2,0.8840970350404312,0.08333333333333333,0.0,0.25,0.25,0.5385170271798612
Heart disease,heart-statlog,1,23,270,13,0.16842105263157894,0.9182389937106917,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.553223696148445
Heart disease,heart-statlog,1,24,270,13,0.15789473684210525,0.9065588499550763,0.020833333333333332,0.0,0.0,0.0,0.5148550566893941
Heart disease,heart-statlog,1,25,270,13,0.12631578947368421,0.940251572327044,0.041666666666666664,0.0,0.0,0.0,0.5543239314610967
Heart disease,heart-statlog,1,26,270,13,0.17894736842105263,0.8998203054806828,0.041666666666666664,0.0,0.16666666666666666,0.16666666666666666,0.5517164799098949
Heart disease,heart-statlog,1,27,270,13,0.16842105263157894,0.8791554357592093,0.10416666666666667,0.08333333333333333,0.25,0.16666666666666669,0.544421123382399
Heart disease,heart-statlog,1,28,270,13,0.1368421052631579,0.954177897574124,0.0625,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.4656945364232245
Heart disease,heart-statlog,1,29,270,13,0.10526315789473684,0.9433962264150944,0.0625,0.0,0.08333333333333333,0.08333333333333333,0.5109549959655382
Heart disease,heart-statlog,1,30,270,13,0.10526315789473684,0.9389038634321654,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.5192288024641403
Heart disease,heart-statlog,1,31,270,13,0.14736842105263157,0.9052111410601976,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.5520679259080753
Heart disease,heart-statlog,1,32,270,13,0.16842105263157894,0.9088050314465409,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.5358502036091619
Heart disease,heart-statlog,1,33,270,13,0.18947368421052632,0.8769092542677448,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.5094715581967009
Heart disease,heart-statlog,1,34,270,13,0.16842105263157894,0.8921832884097034,0.08333333333333333,0.0,0.25,0.25,0.5338053380610228
Heart disease,heart-statlog,1,35,270,13,0.16842105263157894,0.8939802336028752,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.5497373859232216
Heart disease,heart-statlog,1,36,270,13,0.17894736842105263,0.8998203054806829,0.08333333333333333,0.0,0.25,0.25,0.5746790601765551
Heart disease,heart-statlog,1,37,270,13,0.15789473684210525,0.89937106918239,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5564175533271253
Heart disease,heart-statlog,1,38,270,13,0.16842105263157894,0.8746630727762803,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.5915196859305485
Heart disease,heart-statlog,1,39,270,13,0.21052631578947367,0.8809523809523809,0.125,0.0,0.4166666666666667,0.4166666666666667,0.5746510300127079
