dataset,openml_name,openml_version,seed,method,top_quartile_error,error_auc,mean_score
Diabetes,diabetes,1,24,Low confidence,0.17647058823529413,0.648554336989033,0.13546592069180532
Diabetes,diabetes,1,24,SEF-entropy rank correlation,0.28799141547166135,,
Diabetes,diabetes,1,25,SEF conflict,0.23529411764705882,0.6204347826086957,0.23979139570890806
Diabetes,diabetes,1,25,Attribution entropy,0.17647058823529413,0.4917391304347826,0.695687676914324
Diabetes,diabetes,1,25,Attribution Gini spread,0.14705882352941177,0.4769565217391304,0.69018011562561
Diabetes,diabetes,1,25,Low confidence,0.2647058823529412,0.6682608695652174,0.11525698888228993
Diabetes,diabetes,1,25,SEF-entropy rank correlation,0.021027216856892014,,
Diabetes,diabetes,1,26,SEF conflict,0.2647058823529412,0.6584084084084084,0.27068413254846935
Diabetes,diabetes,1,26,Attribution entropy,0.14705882352941177,0.5015015015015015,0.7284464803998859
Diabetes,diabetes,1,26,Attribution Gini spread,0.17647058823529413,0.48123123123123124,0.7017834835853346
Diabetes,diabetes,1,26,Low confidence,0.3235294117647059,0.5987237237237237,0.1108645915081241
Diabetes,diabetes,1,26,SEF-entropy rank correlation,-0.005784808536742834,,
Diabetes,diabetes,1,27,SEF conflict,0.14705882352941177,0.555333998005982,0.22071780916340203
Diabetes,diabetes,1,27,Attribution entropy,0.20588235294117646,0.5284147557328016,0.6997136561007035
Diabetes,diabetes,1,27,Attribution Gini spread,0.14705882352941177,0.5294117647058824,0.6858831790217346
Diabetes,diabetes,1,27,Low confidence,0.20588235294117646,0.6216350947158524,0.13074188507589155
Diabetes,diabetes,1,27,SEF-entropy rank correlation,-0.0315629283143366,,
Diabetes,diabetes,1,28,SEF conflict,0.20588235294117646,0.6556521739130434,0.2955780547598141
Diabetes,diabetes,1,28,Attribution entropy,0.29411764705882354,0.682608695652174,0.7695718445100702
Diabetes,diabetes,1,28,Attribution Gini spread,0.2647058823529412,0.6739130434782609,0.7276237295706955
Diabetes,diabetes,1,28,Low confidence,0.17647058823529413,0.6147826086956522,0.1205662213537219
Diabetes,diabetes,1,28,SEF-entropy rank correlation,0.2258365037557312,,
Diabetes,diabetes,1,29,SEF conflict,0.17647058823529413,0.7116666666666667,0.2927106018850806
Diabetes,diabetes,1,29,Attribution entropy,0.14705882352941177,0.5944444444444446,0.7029952286261679
Diabetes,diabetes,1,29,Attribution Gini spread,0.14705882352941177,0.5833333333333334,0.6820136752014702
Diabetes,diabetes,1,29,Low confidence,0.17647058823529413,0.6433333333333333,0.1379920025609791
Diabetes,diabetes,1,29,SEF-entropy rank correlation,0.0720807726075505,,
Diabetes,diabetes,1,30,SEF conflict,0.11764705882352941,0.5992647058823529,0.2948552353324767
Diabetes,diabetes,1,30,Attribution entropy,0.17647058823529413,0.5157563025210083,0.7476614988756003
Diabetes,diabetes,1,30,Attribution Gini spread,0.14705882352941177,0.509453781512605,0.6987251926887005
Diabetes,diabetes,1,30,Low confidence,0.17647058823529413,0.5714285714285714,0.14189339234986825
Diabetes,diabetes,1,30,SEF-entropy rank correlation,0.09409325919422497,,
Diabetes,diabetes,1,31,SEF conflict,0.29411764705882354,0.710108604845447,0.27143376673331987
Diabetes,diabetes,1,31,Attribution entropy,0.23529411764705882,0.6035923141186299,0.7093404678186224
Diabetes,diabetes,1,31,Attribution Gini spread,0.23529411764705882,0.5898078529657478,0.6861801820877051
Diabetes,diabetes,1,31,Low confidence,0.2647058823529412,0.6420217209690894,0.12029050981711596
Diabetes,diabetes,1,31,SEF-entropy rank correlation,0.11644244030156972,,
Diabetes,diabetes,1,32,SEF conflict,0.17647058823529413,0.7588075880758808,0.28848943455314907
Diabetes,diabetes,1,32,Attribution entropy,0.08823529411764706,0.5155826558265583,0.7490872966154741
Diabetes,diabetes,1,32,Attribution Gini spread,0.08823529411764706,0.48712737127371275,0.7173198345514251
Diabetes,diabetes,1,32,Low confidence,0.17647058823529413,0.6754742547425474,0.14077111597882422
Diabetes,diabetes,1,32,SEF-entropy rank correlation,0.006757885520790217,,
Diabetes,diabetes,1,33,SEF conflict,0.14705882352941177,0.6588888888888889,0.2876180516116066
Diabetes,diabetes,1,33,Attribution entropy,0.14705882352941177,0.43222222222222223,0.7123542082961328
Diabetes,diabetes,1,33,Attribution Gini spread,0.11764705882352941,0.4172222222222222,0.6874654470825173
Diabetes,diabetes,1,33,Low confidence,0.08823529411764706,0.4638888888888889,0.13231605653963713
Diabetes,diabetes,1,33,SEF-entropy rank correlation,0.20831138425519466,,
